year,state,fullstate,amount
2010-11,NSW,New South Wales,4144.6
2010-11,VIC,Victoria,5890.1
2010-11,QLD,Queensland,2314.7
2010-11,WA,Western Australia,1029.0
2010-11,SA,South Australia,3155.0
2010-11,TAS,Tasmania,9976.5
2010-11,NT,Northern Territory,14.3
2011-12,NSW,New South Wales,4624.5
2011-12,VIC,Victoria,5047.5
2011-12,QLD,Queensland,2636.5
2011-12,WA,Western Australia,1735.8
2011-12,SA,South Australia,3599.6
2011-12,TAS,Tasmania,8994.6
2011-12,NT,Northern Territory,17.4
2012-13,NSW,New South Wales,5827.1
2012-13,VIC,Victoria,6724.1
2012-13,QLD,Queensland,3264.7
2012-13,WA,Western Australia,2079.3
2012-13,SA,South Australia,3950.6
2012-13,TAS,Tasmania,11330.2
2012-13,NT,Northern Territory,23.4
2013-14,NSW,New South Wales,5478.1
2013-14,VIC,Victoria,6932.4
2013-14,QLD,Queensland,3805.5
2013-14,WA,Western Australia,2428.2
2013-14,SA,South Australia,4916.5
2013-14,TAS,Tasmania,12994.8
2013-14,NT,Northern Territory,33.3
2014-15,NSW,New South Wales,5441.6
2014-15,VIC,Victoria,7137.5
2014-15,QLD,Queensland,4117.5
2014-15,WA,Western Australia,2622.2
2014-15,SA,South Australia,5191.6
2014-15,TAS,Tasmania,9480.9
2014-15,NT,Northern Territory,44.3
2015-16,NSW,New South Wales,7976.8
2015-16,VIC,Victoria,8385.6
2015-16,QLD,Queensland,4355.3
2015-16,WA,Western Australia,2577.2
2015-16,SA,South Australia,5396.6
2015-16,TAS,Tasmania,9396.0
2015-16,NT,Northern Territory,58.7
2016-17,NSW,New South Wales,8539.8
2016-17,VIC,Victoria,9174.1
2016-17,QLD,Queensland,4481.7
2016-17,WA,Western Australia,2987.9
2016-17,SA,South Australia,5499.9
2016-17,TAS,Tasmania,9683.9
2016-17,NT,Northern Territory,87.3
2017-18,NSW,New South Wales,9332.3
2017-18,VIC,Victoria,9328.8
2017-18,QLD,Queensland,4988.1
2017-18,WA,Western Australia,3190.9
2017-18,SA,South Australia,6937.6
2017-18,TAS,Tasmania,10740.2
2017-18,NT,Northern Territory,124.9
2018-19,NSW,New South Wales,11143.0
2018-19,VIC,Victoria,10662.0
2018-19,QLD,Queensland,7611.4
2018-19,WA,Western Australia,3760.7
2018-19,SA,South Australia,7528.7
2018-19,TAS,Tasmania,11158.6
2018-19,NT,Northern Territory,159.3
2019-20,NSW,New South Wales,13289.8
2019-20,VIC,Victoria,12016.3
2019-20,QLD,Queensland,10236.2
2019-20,WA,Western Australia,4450.5
2019-20,SA,South Australia,8266.0
2019-20,TAS,Tasmania,11461.2
2019-20,NT,Northern Territory,210.2
